id,subdistrict_id:id,name,zip
village_00001,res_subdistrict_00001,Keude Bakongan,23773
village_00002,res_subdistrict_00001,Ujong Mangki,
village_00003,res_subdistrict_00001,Ujong Padang,
village_00004,res_subdistrict_00001,Gampong Drien,
village_00005,res_subdistrict_00001,Darul Ikhsan,23773
village_00006,res_subdistrict_00001,Padang Beurahan,
village_00007,res_subdistrict_00001,Gampong Baro,
village_00008,res_subdistrict_00002,Fajar Harapan,23771
village_00009,res_subdistrict_00002,Krueng Batee,23771
village_00010,res_subdistrict_00002,Pasi Kuala Asahan,23771
village_00011,res_subdistrict_00002,Gunong Pulo,23771
village_00012,res_subdistrict_00002,Pulo Ie I,23771
village_00013,res_subdistrict_00002,Jambo Manyang,23771
village_00014,res_subdistrict_00002,Simpang Empat,23771
village_00015,res_subdistrict_00002,Limau Purut,
village_00016,res_subdistrict_00002,Pulo Kambing,23771
village_00017,res_subdistrict_00002,Kampung Paya,23771
village_00018,res_subdistrict_00002,Krueng Batu,23771
village_00019,res_subdistrict_00002,Krueng Kluet,23771
village_00020,res_subdistrict_00002,Alur Mas,23771
village_00021,res_subdistrict_00002,Kampung Tinggi,23771
village_00022,res_subdistrict_00002,Ruak,
village_00023,res_subdistrict_00002,Simpang Lhee,23771
village_00024,res_subdistrict_00002,Suaq Geuringgeng,
village_00025,res_subdistrict_00002,Pasi Kuala Ba'u,
village_00026,res_subdistrict_00002,Kedai Padang,23771
village_00027,res_subdistrict_00002,Kotafajar,23771
village_00028,res_subdistrict_00002,Gunung Pudung,23771
village_00029,res_subdistrict_00003,Suaq Bakung,
village_00030,res_subdistrict_00003,Rantau Binuang,23772
village_00031,res_subdistrict_00003,Barat Daya,23772
village_00032,res_subdistrict_00003,Sialang,23772
village_00033,res_subdistrict_00003,Kapeh,23772
village_00034,res_subdistrict_00003,Pulo Ie,23772
village_00035,res_subdistrict_00003,Kedai Runding,23772
village_00036,res_subdistrict_00003,Kedai Kandang,23772
village_00037,res_subdistrict_00003,Gampong Luar,
village_00038,res_subdistrict_00003,Ujung,23772
village_00039,res_subdistrict_00003,Jua,23772
village_00040,res_subdistrict_00003,Pasi Meurapat,
village_00041,res_subdistrict_00003,Ujung Pasir,23772
village_00042,res_subdistrict_00003,Geulumbuk,
village_00043,res_subdistrict_00003,Pasie Lembang,
village_00044,res_subdistrict_00003,Ujung Padang,23772
village_00045,res_subdistrict_00003,Indra Damai,23772
village_00046,res_subdistrict_00004,Bakau Hulu,
village_00047,res_subdistrict_00004,Padang Bakau,
village_00048,res_subdistrict_00004,Manggis Harapan,
village_00049,res_subdistrict_00004,Pasar Lama,
village_00050,res_subdistrict_00004,Apha,
village_00051,res_subdistrict_00004,Ujung Batu,
village_00052,res_subdistrict_00004,Pawoh,
village_00053,res_subdistrict_00004,Dalam,
village_00054,res_subdistrict_00004,Kota Palak,
village_00055,res_subdistrict_00004,Cacang,
village_00056,res_subdistrict_00004,Tengah Pisang,
village_00057,res_subdistrict_00004,Pisang,
village_00058,res_subdistrict_00004,Hulu Pisang,
village_00059,res_subdistrict_00004,Tengah Baru,
village_00060,res_subdistrict_00004,Lembah Baru,
village_00061,res_subdistrict_00004,Padang Baru,
village_00062,res_subdistrict_00005,Kuta Buloh Ii,23754
village_00063,res_subdistrict_00005,Kuta Buloh I,23754
village_00064,res_subdistrict_00005,Ie Dingen,
village_00065,res_subdistrict_00005,Drien Jalo,23754
village_00066,res_subdistrict_00005,Jambo Papeun,23754
village_00067,res_subdistrict_00005,Buket Meuh,23754
village_00068,res_subdistrict_00005,Blang Kuala,23754
village_00069,res_subdistrict_00005,Rot Teungoh,23754
village_00070,res_subdistrict_00005,Alue Baro,23754
village_00071,res_subdistrict_00005,Ladang Tuha,23754
village_00072,res_subdistrict_00005,Lhok Mamplam,23754
village_00073,res_subdistrict_00005,Arun Tunggai,
village_00074,res_subdistrict_00005,Blang Teungoh,23754
village_00075,res_subdistrict_00005,Blang Bladeh,23754
village_00076,res_subdistrict_00005,Ie Buboh,
village_00077,res_subdistrict_00005,Keude Meukek,23754
village_00078,res_subdistrict_00005,Kuta Baro,
village_00079,res_subdistrict_00005,Tanjung Harapan,23754
village_00080,res_subdistrict_00005,Labuhan Tarok,23754
village_00081,res_subdistrict_00005,Lhok Aman,23754
village_00082,res_subdistrict_00005,Alue Meutuah,23754
village_00083,res_subdistrict_00005,Ladang Baro,23754
village_00084,res_subdistrict_00005,Labuhan Tarok Ii,23754
village_00085,res_subdistrict_00006,Dalam,
village_00086,res_subdistrict_00006,Subarang,
village_00087,res_subdistrict_00006,Kuta Baru,
village_00088,res_subdistrict_00006,Gunung Ketek,
village_00089,res_subdistrict_00006,Ladang Panton Luas,
village_00090,res_subdistrict_00006,Madat,
village_00091,res_subdistrict_00006,Alur Seumerah,
village_00092,res_subdistrict_00006,Tengah,
village_00093,res_subdistrict_00006,Gunung Cut,
village_00094,res_subdistrict_00006,Alur Pinang,
village_00095,res_subdistrict_00006,Kuta Blang,
village_00096,res_subdistrict_00006,Batee Tunggai,
village_00097,res_subdistrict_00006,Ujung Tanah,
village_00098,res_subdistrict_00006,Ujung Kampung,
village_00099,res_subdistrict_00006,Jilatang,
village_00100,res_subdistrict_00006,Luar,
village_00101,res_subdistrict_00006,Lubuk Layu,
village_00102,res_subdistrict_00006,Suaq Hulu,
village_00103,res_subdistrict_00006,Tampang,
village_00104,res_subdistrict_00006,Payonan Gadang,
village_00105,res_subdistrict_00006,Gadang,
village_00106,res_subdistrict_00006,Baru,
village_00107,res_subdistrict_00006,Ladang Kasik Putih,
village_00108,res_subdistrict_00006,Air Sialang Hilir.,
village_00109,res_subdistrict_00006,Air Sialang Hulu,
village_00110,res_subdistrict_00006,Air Sialang Tengah,
village_00111,res_subdistrict_00006,Balai,
village_00112,res_subdistrict_00006,Arafah,
village_00113,res_subdistrict_00007,Sikulat,23753
village_00114,res_subdistrict_00007,Sawang I,23753
village_00115,res_subdistrict_00007,Meuligo,23753
village_00116,res_subdistrict_00007,Lhok Pawoh,23753
village_00117,res_subdistrict_00007,Sawang Ii,23753
village_00118,res_subdistrict_00007,Ujung Karang,23753
village_00119,res_subdistrict_00007,Trieng Meuduro Baroh,23753
village_00120,res_subdistrict_00007,Trieng Meuduro Tunong,23753
