id,state_id:id,name
res_city_00001,base.state_id_ac,Kab. Aceh Selatan
res_city_00002,base.state_id_ac,Kab. Aceh Tenggara
res_city_00003,base.state_id_ac,Kab. Aceh Timur
res_city_00004,base.state_id_ac,Kab. Aceh Tengah
res_city_00005,base.state_id_ac,Kab. Aceh Barat
res_city_00006,base.state_id_ac,Kab. Aceh Besar
res_city_00007,base.state_id_ac,Kab. Pidie
res_city_00008,base.state_id_ac,Kab. Aceh Utara
res_city_00009,base.state_id_ac,Kab. Simeulue
res_city_00010,base.state_id_ac,Kab. Aceh Singkil
res_city_00011,base.state_id_ac,Kab. Bireuen
res_city_00012,base.state_id_ac,Kab. Aceh Barat Daya
res_city_00013,base.state_id_ac,Kab. Gayo Lues
res_city_00014,base.state_id_ac,Kab. Aceh Jaya
res_city_00015,base.state_id_ac,Kab. Nagan Raya
res_city_00016,base.state_id_ac,Kab. Aceh Tamiang
res_city_00017,base.state_id_ac,Kab. Bener Meriah
res_city_00018,base.state_id_ac,Kab. Pidie Jaya
res_city_00019,base.state_id_ac,Kota Banda Aceh
res_city_00020,base.state_id_ac,Kota Sabang
res_city_00021,base.state_id_ac,Kota Lhokseumawe
res_city_00022,base.state_id_ac,Kota Langsa
res_city_00023,base.state_id_ac,Kota Subulussalam
res_city_00024,base.state_id_su,Kab. Tapanuli Tengah
res_city_00025,base.state_id_su,Kab. Tapanuli Utara
res_city_00026,base.state_id_su,Kab. Tapanuli Selatan
res_city_00027,base.state_id_su,Kab. Nias
res_city_00028,base.state_id_su,Kab. Langkat
res_city_00029,base.state_id_su,Kab. Karo
res_city_00030,base.state_id_su,Kab. Deli Serdang
res_city_00031,base.state_id_su,Kab. Simalungun
res_city_00032,base.state_id_su,Kab. Asahan
res_city_00033,base.state_id_su,Kab. Labuhanbatu
res_city_00034,base.state_id_su,Kab. Dairi
res_city_00035,base.state_id_su,Kab. Toba
res_city_00036,base.state_id_su,Kab. Mandailing Natal
res_city_00037,base.state_id_su,Kab. Nias Selatan
res_city_00038,base.state_id_su,Kab. Pakpak Bharat
res_city_00039,base.state_id_su,Kab. Humbang Hasundutan
res_city_00040,base.state_id_su,Kab. Samosir
res_city_00041,base.state_id_su,Kab. Serdang Bedagai
