id,city_id:id,name
res_subdistrict_00001,res_city_00001,Bakongan
res_subdistrict_00002,res_city_00001,Kluet Utara
res_subdistrict_00003,res_city_00001,Kluet Selatan
res_subdistrict_00004,res_city_00001,Labuhanhaji
res_subdistrict_00005,res_city_00001,Meukek
res_subdistrict_00006,res_city_00001,Samadua
res_subdistrict_00007,res_city_00001,Sawang
res_subdistrict_00008,res_city_00001,Tapaktuan
res_subdistrict_00009,res_city_00001,Trumon
res_subdistrict_00010,res_city_00001,Pasi Raja
res_subdistrict_00011,res_city_00001,Labuhan Haji Timur
res_subdistrict_00012,res_city_00001,Labuhan Haji Barat
res_subdistrict_00013,res_city_00001,Kluet Tengah
res_subdistrict_00014,res_city_00001,Kluet Timur
res_subdistrict_00015,res_city_00001,Bakongan Timur
res_subdistrict_00016,res_city_00001,Trumon Timur
res_subdistrict_00017,res_city_00001,Kota Bahagia
res_subdistrict_00018,res_city_00001,Trumon Tengah
res_subdistrict_00019,res_city_00002,Lawe Alas
res_subdistrict_00020,res_city_00002,Lawe Sigala-gala
res_subdistrict_00021,res_city_00002,Bambel
res_subdistrict_00022,res_city_00002,Babussalam
res_subdistrict_00023,res_city_00002,Badar
res_subdistrict_00024,res_city_00002,Babul Makmur
res_subdistrict_00025,res_city_00002,Darul Hasanah
res_subdistrict_00026,res_city_00002,Lawe Bulan
res_subdistrict_00027,res_city_00002,Bukit Tusam
res_subdistrict_00028,res_city_00002,Semadam
res_subdistrict_00029,res_city_00002,Babul Rahmah
res_subdistrict_00030,res_city_00002,Ketambe
res_subdistrict_00031,res_city_00002,Deleng Pokhkisen
res_subdistrict_00032,res_city_00002,Lawe Sumur
res_subdistrict_00033,res_city_00002,Tanoh Alas
res_subdistrict_00034,res_city_00002,Leuser
res_subdistrict_00035,res_city_00003,Darul Aman
res_subdistrict_00036,res_city_00003,Julok
res_subdistrict_00037,res_city_00003,Idi Rayeuk
res_subdistrict_00038,res_city_00003,Birem Bayeun
res_subdistrict_00039,res_city_00003,Serbajadi
res_subdistrict_00040,res_city_00003,Nurussalam
res_subdistrict_00041,res_city_00003,Peureulak
res_subdistrict_00042,res_city_00003,Rantau Selamat
res_subdistrict_00043,res_city_00003,Simpang Ulim
res_subdistrict_00044,res_city_00003,Ranto Peureulak
res_subdistrict_00045,res_city_00003,Pante Bidari
res_subdistrict_00046,res_city_00003,Madat
res_subdistrict_00047,res_city_00003,Indra Makmu
res_subdistrict_00048,res_city_00003,Idi Tunong
res_subdistrict_00049,res_city_00003,Banda Alam
res_subdistrict_00050,res_city_00003,Peudawa
res_subdistrict_00051,res_city_00003,Peureulak Timur
res_subdistrict_00052,res_city_00003,Peureulak Barat
res_subdistrict_00053,res_city_00003,Sungai Raya
res_subdistrict_00054,res_city_00003,Simpang Jernih
res_subdistrict_00055,res_city_00003,Darul Ihsan
res_subdistrict_00056,res_city_00003,Darul Falah
res_subdistrict_00057,res_city_00003,Idi Timur
res_subdistrict_00058,res_city_00003,Peunaron
res_subdistrict_00059,res_city_00004,Linge
res_subdistrict_00060,res_city_00004,Silih Nara
res_subdistrict_00061,res_city_00004,Bebesen
res_subdistrict_00062,res_city_00004,Pegasing
res_subdistrict_00063,res_city_00004,Bintang
res_subdistrict_00064,res_city_00004,Ketol
res_subdistrict_00065,res_city_00004,Kebayakan
res_subdistrict_00066,res_city_00004,Kute Panang
res_subdistrict_00067,res_city_00004,Celala
res_subdistrict_00068,res_city_00004,Laut Tawar
res_subdistrict_00069,res_city_00004,Atu Lintang
res_subdistrict_00070,res_city_00004,Jagong Jeget
res_subdistrict_00071,res_city_00004,Bies
res_subdistrict_00072,res_city_00004,Rusip Antara
res_subdistrict_00073,res_city_00005,Johan Pahlawan
res_subdistrict_00074,res_city_00005,Kaway Xvi
res_subdistrict_00075,res_city_00005,Sungai Mas
res_subdistrict_00076,res_city_00005,Woyla
res_subdistrict_00077,res_city_00005,Samatiga
res_subdistrict_00078,res_city_00005,Bubon
res_subdistrict_00079,res_city_00005,Arongan Lambalek
res_subdistrict_00080,res_city_00005,Pante Ceureumen
res_subdistrict_00081,res_city_00005,Meureubo
res_subdistrict_00082,res_city_00005,Woyla Barat
res_subdistrict_00083,res_city_00005,Woyla Timur
res_subdistrict_00084,res_city_00005,Panton Reu
res_subdistrict_00085,res_city_00006,Lhoong
res_subdistrict_00086,res_city_00006,Lhoknga
res_subdistrict_00087,res_city_00006,Indrapuri
res_subdistrict_00088,res_city_00006,Seulimeum
res_subdistrict_00089,res_city_00006,Montasik
res_subdistrict_00090,res_city_00006,Sukamakmur
res_subdistrict_00091,res_city_00006,Darul Imarah
res_subdistrict_00092,res_city_00006,Peukan Bada
res_subdistrict_00093,res_city_00006,Mesjid Raya
res_subdistrict_00094,res_city_00006,Ingin Jaya
res_subdistrict_00095,res_city_00006,Kuta Baro
res_subdistrict_00096,res_city_00006,Darussalam
res_subdistrict_00097,res_city_00006,Pulo Aceh
res_subdistrict_00098,res_city_00006,Lembah Seulawah
res_subdistrict_00099,res_city_00006,Kota Jantho
res_subdistrict_00100,res_city_00006,Kuta Cot Glie
res_subdistrict_00101,res_city_00006,Kuta Malaka
res_subdistrict_00102,res_city_00006,Simpang Tiga
res_subdistrict_00103,res_city_00006,Darul Kamal
res_subdistrict_00104,res_city_00006,Baitussalam
res_subdistrict_00105,res_city_00006,Krueng Barona Jaya
res_subdistrict_00106,res_city_00006,Leupung
res_subdistrict_00107,res_city_00006,Blang Bintang
res_subdistrict_00108,res_city_00007,Batee
res_subdistrict_00109,res_city_00007,Delima
res_subdistrict_00110,res_city_00007,Geumpang
res_subdistrict_00111,res_city_00007,Glumpang Tiga
res_subdistrict_00112,res_city_00007,Indrajaya
res_subdistrict_00113,res_city_00007,Kembang Tanjong
res_subdistrict_00114,res_city_00007,Kota Sigli
res_subdistrict_00115,res_city_00007,Mila
res_subdistrict_00116,res_city_00007,Muara Tiga
res_subdistrict_00117,res_city_00007,Mutiara
res_subdistrict_00118,res_city_00007,Padang Tiji
res_subdistrict_00119,res_city_00007,Peukan Baro
res_subdistrict_00120,res_city_00007,Pidie
res_subdistrict_00121,res_city_00007,Sakti
res_subdistrict_00122,res_city_00007,Simpang Tiga
res_subdistrict_00123,res_city_00007,Tangse
res_subdistrict_00124,res_city_00007,Tiro/truseb
res_subdistrict_00125,res_city_00007,Keumala
res_subdistrict_00126,res_city_00007,Mutiara Timur
res_subdistrict_00127,res_city_00007,Grong-grong
res_subdistrict_00128,res_city_00007,Mane
res_subdistrict_00129,res_city_00007,Glumpang Baro
res_subdistrict_00130,res_city_00007,Titeue
res_subdistrict_00131,res_city_00008,Baktiya
res_subdistrict_00132,res_city_00008,Dewantara
res_subdistrict_00133,res_city_00008,Kuta Makmur
res_subdistrict_00134,res_city_00008,Lhoksukon
res_subdistrict_00135,res_city_00008,Matangkuli
res_subdistrict_00136,res_city_00008,Muara Batu
res_subdistrict_00137,res_city_00008,Meurah Mulia
res_subdistrict_00138,res_city_00008,Samudera
res_subdistrict_00139,res_city_00008,Seunuddon
res_subdistrict_00140,res_city_00008,Syamtalira Aron
res_subdistrict_00141,res_city_00008,Syamtalira Bayu
res_subdistrict_00142,res_city_00008,Tanah Luas
res_subdistrict_00143,res_city_00008,Tanah Pasir
res_subdistrict_00144,res_city_00008,T. Jambo Aye
res_subdistrict_00145,res_city_00008,Sawang
res_subdistrict_00146,res_city_00008,Nisam
res_subdistrict_00147,res_city_00008,Cot Girek
res_subdistrict_00148,res_city_00008,Langkahan
res_subdistrict_00149,res_city_00008,Baktiya Barat
res_subdistrict_00150,res_city_00008,Paya Bakong
res_subdistrict_00151,res_city_00008,Nibong
res_subdistrict_00152,res_city_00008,Simpang Kramat
res_subdistrict_00153,res_city_00008,Lapang
res_subdistrict_00154,res_city_00008,Pirak Timur
res_subdistrict_00155,res_city_00008,Geuredong Pase
res_subdistrict_00156,res_city_00008,Banda Baro
res_subdistrict_00157,res_city_00008,Nisam Antara
res_subdistrict_00158,res_city_00009,Simeulue Tengah
res_subdistrict_00159,res_city_00009,Salang
res_subdistrict_00160,res_city_00009,Teupah Barat
res_subdistrict_00161,res_city_00009,Simeulue Timur
res_subdistrict_00162,res_city_00009,Teluk Dalam
res_subdistrict_00163,res_city_00009,Simeulue Barat
res_subdistrict_00164,res_city_00009,Teupah Selatan
res_subdistrict_00165,res_city_00009,Alafan
res_subdistrict_00166,res_city_00009,Teupah Tengah
res_subdistrict_00167,res_city_00009,Simeulue Cut
res_subdistrict_00168,res_city_00010,Pulau Banyak
res_subdistrict_00169,res_city_00010,Simpang Kanan
res_subdistrict_00170,res_city_00010,Singkil
res_subdistrict_00171,res_city_00010,Gunung Meriah
res_subdistrict_00172,res_city_00010,Kota Baharu
res_subdistrict_00173,res_city_00010,Singkil Utara
res_subdistrict_00174,res_city_00010,Danau Paris
res_subdistrict_00175,res_city_00010,Suro Makmur
res_subdistrict_00176,res_city_00010,Singkohor
res_subdistrict_00177,res_city_00010,Kuala Baru
res_subdistrict_00178,res_city_00010,Pulau Banyak Barat
res_subdistrict_00179,res_city_00011,Samalanga
res_subdistrict_00180,res_city_00011,Jeunieb
res_subdistrict_00181,res_city_00011,Peudada
res_subdistrict_00182,res_city_00011,Jeumpa
res_subdistrict_00183,res_city_00011,Peusangan
res_subdistrict_00184,res_city_00011,Makmur
res_subdistrict_00185,res_city_00011,Gandapura
res_subdistrict_00186,res_city_00011,Pandrah
res_subdistrict_00187,res_city_00011,Juli
res_subdistrict_00188,res_city_00011,Jangka
res_subdistrict_00189,res_city_00011,Simpang Mamplam
res_subdistrict_00190,res_city_00011,Peulimbang
res_subdistrict_00191,res_city_00011,Kota Juang
res_subdistrict_00192,res_city_00011,Kuala
res_subdistrict_00193,res_city_00011,Peusangan Siblah Krueng
res_subdistrict_00194,res_city_00011,Peusangan Selatan
res_subdistrict_00195,res_city_00011,Kuta Blang
res_subdistrict_00196,res_city_00012,Blangpidie
res_subdistrict_00197,res_city_00012,Tangan-tangan
res_subdistrict_00198,res_city_00012,Manggeng
res_subdistrict_00199,res_city_00012,Susoh
res_subdistrict_00200,res_city_00012,Kuala Batee
res_subdistrict_00201,res_city_00012,Babah Rot
res_subdistrict_00202,res_city_00012,Setia
res_subdistrict_00203,res_city_00012,Jeumpa
res_subdistrict_00204,res_city_00012,Lembah Sabil
res_subdistrict_00205,res_city_00013,Blangkejeren
res_subdistrict_00206,res_city_00013,Kutapanjang
res_subdistrict_00207,res_city_00013,Rikit Gaib
res_subdistrict_00208,res_city_00013,Terangun
res_subdistrict_00209,res_city_00013,Pining
res_subdistrict_00210,res_city_00013,Blangpegayon
res_subdistrict_00211,res_city_00013,Puteri Betung
res_subdistrict_00212,res_city_00013,Dabun Gelang
res_subdistrict_00213,res_city_00013,Blangjerango
res_subdistrict_00214,res_city_00013,Teripe Jaya
res_subdistrict_00215,res_city_00013,Pantan Cuaca
res_subdistrict_00216,res_city_00014,Teunom
res_subdistrict_00217,res_city_00014,Krueng Sabee
res_subdistrict_00218,res_city_00014,Setia Bakti
res_subdistrict_00219,res_city_00014,Sampoi Niet
res_subdistrict_00220,res_city_00014,Jaya
res_subdistrict_00221,res_city_00014,Panga
res_subdistrict_00222,res_city_00014,Indra Jaya
res_subdistrict_00223,res_city_00014,Darul Hikmah
res_subdistrict_00224,res_city_00014,Pasie Raya
res_subdistrict_00225,res_city_00015,Kuala
res_subdistrict_00226,res_city_00015,Seunagan
res_subdistrict_00227,res_city_00015,Seunagan Timur
res_subdistrict_00228,res_city_00015,Beutong
res_subdistrict_00229,res_city_00015,Darul Makmur
res_subdistrict_00230,res_city_00015,Suka Makmue
res_subdistrict_00231,res_city_00015,Kuala Pesisir
res_subdistrict_00232,res_city_00015,Tadu Raya
res_subdistrict_00233,res_city_00015,Tripa Makmur
res_subdistrict_00234,res_city_00015,Beutong Ateuh Banggalang
res_subdistrict_00235,res_city_00016,Manyak Payed
res_subdistrict_00236,res_city_00016,Bendahara
res_subdistrict_00237,res_city_00016,Karang Baru
res_subdistrict_00238,res_city_00016,Seruway
res_subdistrict_00239,res_city_00016,Kota Kualasinpang
res_subdistrict_00240,res_city_00016,Kejuruan Muda
res_subdistrict_00241,res_city_00016,Tamiang Hulu
res_subdistrict_00242,res_city_00016,Rantau
res_subdistrict_00243,res_city_00016,Banda Mulia
res_subdistrict_00244,res_city_00016,Bandar Pusaka
res_subdistrict_00245,res_city_00016,Tenggulun
res_subdistrict_00246,res_city_00016,Sekerak
res_subdistrict_00247,res_city_00017,Pintu Rime Gayo
res_subdistrict_00248,res_city_00017,Permata
res_subdistrict_00249,res_city_00017,Syiah Utama
res_subdistrict_00250,res_city_00017,Bandar
res_subdistrict_00251,res_city_00017,Bukit
res_subdistrict_00252,res_city_00017,Wih Pesam
res_subdistrict_00253,res_city_00017,Timang Gajah
res_subdistrict_00254,res_city_00017,Bener Kelipah
res_subdistrict_00255,res_city_00017,Mesidah
res_subdistrict_00256,res_city_00017,Gajah Putih
res_subdistrict_00257,res_city_00018,Meureudu
res_subdistrict_00258,res_city_00018,Ulim
res_subdistrict_00259,res_city_00018,Jangka Buaya
res_subdistrict_00260,res_city_00018,Bandar Dua
res_subdistrict_00261,res_city_00018,Meurah Dua
res_subdistrict_00262,res_city_00018,Bandar Baru
res_subdistrict_00263,res_city_00018,Panteraja
res_subdistrict_00264,res_city_00018,Trienggadeng
res_subdistrict_00265,res_city_00019,Baiturrahman
res_subdistrict_00266,res_city_00019,Kuta Alam
res_subdistrict_00267,res_city_00019,Meuraxa
res_subdistrict_00268,res_city_00019,Syiah Kuala
res_subdistrict_00269,res_city_00019,Lueng Bata
res_subdistrict_00270,res_city_00019,Kuta Raja
res_subdistrict_00271,res_city_00019,Banda Raya
